battery,batch,policy,protocol,C1_C,Q1_pct,C2_C,cycle_life,n_cycles,Qinit_Ah,avg_chargetime_min,first_chargetime_min,min_SOH_pct
data_1_cell00,data_1,3.6C(80%)-3.6C,standard,3.6,80.0,3.6,1850,1849,1.0707,13.531,13.341,82.38
data_1_cell01,data_1,3.6C(80%)-3.6C,standard,3.6,80.0,3.6,2158,2157,1.0753,13.517,13.426,81.84
data_1_cell02,data_1,3.6C(80%)-3.6C,standard,3.6,80.0,3.6,2235,2234,1.0799,14.067,13.341,81.55
data_1_cell03,data_1,4C(80%)-4C,standard,4.0,80.0,4.0,1432,1431,1.0797,12.446,12.009,81.51
data_1_cell04,data_1,4C(80%)-4C,standard,4.0,80.0,4.0,1707,1706,1.0784,12.227,12.008,81.6
data_1_cell05,data_1,4.4C(80%)-4.4C,standard,4.4,80.0,4.4,1073,1072,1.0761,11.596,11.002,81.82
data_1_cell06,data_1,4.8C(80%)-4.8C,standard,4.8,80.0,4.8,635,634,1.0758,10.508,10.18,81.8
data_1_cell07,data_1,4.8C(80%)-4.8C,standard,4.8,80.0,4.8,869,868,1.0939,10.49,10.008,80.55
data_1_cell09,data_1,5.4C(40%)-3.6C,standard,5.4,40.0,3.6,1053,1052,1.083,11.442,11.208,81.34
data_1_cell11,data_1,5.4C(50%)-3C,standard,5.4,50.0,3.0,787,786,1.0538,11.858,11.652,83.56
data_1_cell14,data_1,5.4C(60%)-3C,standard,5.4,60.0,3.0,879,878,1.071,11.555,10.763,82.17
data_1_cell15,data_1,5.4C(60%)-3C,standard,5.4,60.0,3.0,718,717,1.0611,11.651,10.847,83.21
data_1_cell16,data_1,5.4C(60%)-3.6C,standard,5.4,60.0,3.6,861,860,1.0812,10.375,10.097,81.48
data_1_cell17,data_1,5.4C(60%)-3.6C,standard,5.4,60.0,3.6,856,855,1.0721,10.375,10.097,82.39
data_1_cell18,data_1,5.4C(70%)-3C,standard,5.4,70.0,3.0,690,689,1.0662,10.706,9.958,82.55
data_1_cell19,data_1,5.4C(70%)-3C,standard,5.4,70.0,3.0,787,786,1.0851,10.8,9.958,81.18
data_1_cell20,data_1,5.4C(80%)-5.4C,standard,5.4,80.0,5.4,533,532,1.0726,9.78,8.989,82.11
data_1_cell21,data_1,5.4C(80%)-5.4C,standard,5.4,80.0,5.4,558,557,1.0824,9.617,8.985,81.31
data_1_cell23,data_1,6C(30%)-3.6C,standard,6.0,30.0,3.6,1013,1012,1.0793,11.669,11.43,81.6
data_1_cell24,data_1,6C(40%)-3C,standard,6.0,40.0,3.0,1016,1015,1.0745,12.62,12.098,81.94
data_1_cell25,data_1,6C(40%)-3C,standard,6.0,40.0,3.0,853,852,1.0752,12.372,12.096,81.86
data_1_cell26,data_1,6C(40%)-3.6C,standard,6.0,40.0,3.6,869,868,1.0877,11.034,10.765,81.0
data_1_cell27,data_1,6C(40%)-3.6C,standard,6.0,40.0,3.6,841,840,1.079,11.014,10.847,81.67
data_1_cell28,data_1,6C(50%)-3C,standard,6.0,50.0,3.0,859,858,1.0777,11.485,11.096,81.71
data_1_cell29,data_1,6C(50%)-3C,standard,6.0,50.0,3.0,916,915,1.0795,11.438,11.18,81.56
data_1_cell30,data_1,6C(50%)-3.6C,standard,6.0,50.0,3.6,708,707,1.0799,10.435,10.18,81.54
data_1_cell31,data_1,6C(50%)-3.6C,standard,6.0,50.0,3.6,875,874,1.0946,10.427,10.097,80.48
data_1_cell32,data_1,6C(60%)-3C,standard,6.0,60.0,3.0,730,729,1.0778,10.751,10.096,81.67
data_1_cell33,data_1,6C(60%)-3C,standard,6.0,60.0,3.0,756,755,1.0925,10.827,10.18,80.56
data_1_cell34,data_1,7C(30%)-3.6C,standard,7.0,30.0,3.6,741,740,1.0766,11.321,11.085,81.93
data_1_cell35,data_1,7C(30%)-3.6C,standard,7.0,30.0,3.6,702,701,1.0707,11.454,11.001,82.21
data_1_cell36,data_1,7C(40%)-3C,standard,7.0,40.0,3.0,703,702,1.0778,12.033,11.525,81.86
data_1_cell37,data_1,7C(40%)-3C,standard,7.0,40.0,3.0,647,646,1.0748,12.012,11.607,82.19
data_1_cell38,data_1,7C(40%)-3.6C,standard,7.0,40.0,3.6,616,615,1.073,10.68,10.192,82.12
data_1_cell39,data_1,7C(40%)-3.6C,standard,7.0,40.0,3.6,624,623,1.0818,10.81,10.192,81.36
data_1_cell40,data_1,8C(15%)-3.6C,standard,8.0,15.0,3.6,965,964,1.0833,12.321,12.138,81.29
data_1_cell41,data_1,8C(15%)-3.6C,standard,8.0,15.0,3.6,1050,1049,1.079,12.584,12.137,81.66
data_1_cell42,data_1,8C(25%)-3.6C,standard,8.0,25.0,3.6,701,700,1.0799,11.714,11.221,81.52
data_1_cell43,data_1,8C(25%)-3.6C,standard,8.0,25.0,3.6,650,649,1.0682,11.604,11.137,82.42
data_1_cell44,data_1,8C(35%)-3.6C,standard,8.0,35.0,3.6,615,614,1.0848,11.489,10.304,81.17
data_1_cell45,data_1,8C(35%)-3.6C,standard,8.0,35.0,3.6,598,597,1.084,11.277,10.304,81.28
data_2_cell00,data_2,1C(4%)-6C,standard,1.0,4.0,6.0,300,325,1.0701,12.752,10.18,77.24
data_2_cell01,data_2,2C(10%)-6C,standard,2.0,10.0,6.0,148,169,1.0721,12.531,10.353,77.1
data_2_cell02,data_2,2C(2%)-5C,standard,2.0,2.0,5.0,438,463,1.0735,12.495,10.025,76.86
data_2_cell03,data_2,2C(7%)-5.5C,standard,2.0,7.0,5.5,335,360,1.0669,12.207,10.136,77.38
data_2_cell04,data_2,3.6C(22%)-5.5C,standard,3.6,22.0,5.5,444,470,1.0729,11.679,10.094,76.96
data_2_cell05,data_2,3.6C(2%)-4.85C,standard,3.6,2.0,4.85,480,506,1.068,12.275,10.179,77.26
data_2_cell06,data_2,3.6C(30%)-6C,standard,3.6,30.0,6.0,511,544,1.0687,11.95,10.176,77.25
data_2_cell10,data_2,3.6C(9%)-5C,standard,3.6,9.0,5.0,561,595,1.0691,11.356,10.15,77.41
data_2_cell11,data_2,4C(13%)-5C,standard,4.0,13.0,5.0,477,504,1.0717,11.458,10.107,76.99
data_2_cell12,data_2,4C(31%)-5,standard,4.0,31.0,5.0,458,490,1.0713,12.742,10.193,77.12
data_2_cell13,data_2,4C(40%)-6C,standard,4.0,40.0,6.0,483,519,1.0803,12.1,10.269,76.41
data_2_cell14,data_2,4C(4%)-4.85C,standard,4.0,4.0,4.85,485,508,1.0781,11.242,10.098,76.64
data_2_cell17,data_2,4.4C(24%)-5C,standard,4.4,24.0,5.0,494,524,1.0656,11.554,10.192,77.48
data_2_cell18,data_2,4.4C(47%)-5.5C,standard,4.4,47.0,5.5,487,522,1.0638,11.876,10.137,77.56
data_2_cell19,data_2,4.4C(55%)-6C,standard,4.4,55.0,6.0,461,488,1.048,11.898,10.254,78.79
data_2_cell20,data_2,4.4C(8%)-4.85C,standard,4.4,8.0,4.85,502,530,1.0831,11.334,10.181,76.33
data_2_cell21,data_2,4.65C(19%)-4.85C,standard,4.65,19.0,4.85,489,519,1.0769,11.475,10.188,76.74
data_2_cell22,data_2,4.65C(44%)-5C,standard,4.65,44.0,5.0,513,539,1.0797,11.44,10.197,76.59
data_2_cell23,data_2,4.65C(69%)-6C,standard,4.65,69.0,6.0,527,561,1.0745,12.593,10.258,76.86
data_2_cell24,data_2,4.8C(80%)-4.8C,standard,4.8,80.0,4.8,495,523,1.068,12.929,10.008,77.36
data_2_cell25,data_2,4.8C(80%)-4.8C,standard,4.8,80.0,4.8,461,486,1.0673,13.247,10.093,77.39
data_2_cell26,data_2,4.8C(80%)-4.8C,standard,4.8,80.0,4.8,471,497,1.0766,13.151,10.008,76.7
data_2_cell27,data_2,4.9C(27%)-4.75C,standard,4.9,27.0,4.75,468,494,1.0658,11.35,10.181,77.5
data_2_cell28,data_2,4.9C(61%)-4.5C,standard,4.9,61.0,4.5,509,540,1.0716,11.206,10.114,77.16
data_2_cell29,data_2,4.9C(69%)-4.25C,standard,4.9,69.0,4.25,498,521,1.0725,11.168,10.098,77.1
data_2_cell30,data_2,5.2C(10%)-4.75C,standard,5.2,10.0,4.75,481,506,1.0673,11.237,10.097,77.4
data_2_cell31,data_2,5.2C(37%)-4.5C,standard,5.2,37.0,4.5,492,518,1.0733,11.089,10.097,76.99
data_2_cell32,data_2,5.2C(50%)-4.25C,standard,5.2,50.0,4.25,519,543,1.0743,11.044,10.097,76.99
data_2_cell33,data_2,5.2C(58%)-4C,standard,5.2,58.0,4.0,520,545,1.0791,11.095,10.179,76.54
data_2_cell34,data_2,5.2C(66%)-3.5C,standard,5.2,66.0,3.5,499,525,1.0689,11.02,10.181,77.37
data_2_cell35,data_2,5.2C(71%)-3C,standard,5.2,71.0,3.0,463,485,1.0687,11.107,10.097,77.28
data_2_cell36,data_2,5.6C(25%)-4.5C,standard,5.6,25.0,4.5,535,559,1.0797,11.275,10.098,76.61
data_2_cell37,data_2,5.6C(38%)-4.25C,standard,5.6,38.0,4.25,478,501,1.0748,11.179,10.098,76.91
data_2_cell38,data_2,5.6C(47%)-4C,standard,5.6,47.0,4.0,465,486,1.0699,11.031,10.182,77.14
data_2_cell39,data_2,5.6C(58%)-3.5C,standard,5.6,58.0,3.5,459,479,1.0785,12.034,10.178,76.72
data_2_cell40,data_2,5.6C(5%)-4.75C,standard,5.6,5.0,4.75,499,529,1.0766,11.321,10.181,76.74
data_2_cell41,data_2,5.6C(65%)-3C,standard,5.6,65.0,3.0,429,451,1.0682,12.135,10.095,77.38
data_2_cell42,data_2,6C(20%)-4.5C,standard,6.0,20.0,4.5,466,491,1.078,11.261,10.18,76.62
data_2_cell43,data_2,6C(31%)-4.25C,standard,6.0,31.0,4.25,462,486,1.0736,11.239,10.096,76.95
data_2_cell44,data_2,6C(40%)-4C,standard,6.0,40.0,4.0,457,478,1.0709,12.108,10.097,77.12
data_2_cell45,data_2,6C(4%)-4.75C,standard,6.0,4.0,4.75,487,513,1.0705,11.227,10.097,77.07
data_2_cell46,data_2,6C(52%)-3.5C,standard,6.0,52.0,3.5,429,448,1.0726,10.998,10.097,77.11
data_2_cell47,data_2,6C(60%)-3C,standard,6.0,60.0,3.0,713,744,1.0421,10.813,10.096,79.28
data_3_cell00,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,1008,1007,1.0675,10.156,10.043,82.48
data_3_cell01,data_3,5.3C(54%)-4C-newstructure,newstructure,5.3,54.0,4.0,1062,1061,1.0651,10.143,10.041,82.65
data_3_cell03,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,1114,1113,1.0629,10.188,10.042,82.85
data_3_cell04,data_3,5.6C(19%)-4.6C-newstructure,newstructure,5.6,19.0,4.6,1047,1046,1.0725,10.239,10.043,82.05
data_3_cell05,data_3,5.6C(36%)-4.3C-newstructure,newstructure,5.6,36.0,4.3,827,826,1.0515,10.2,10.041,83.76
data_3_cell06,data_3,3.7C(31%)-5.9C-newstructure,newstructure,3.7,31.0,5.9,666,665,1.0626,10.839,10.065,82.86
data_3_cell07,data_3,4.8C(80%)-4.8C-newstructure,newstructure,4.8,80.0,4.8,1835,1834,1.0675,11.173,11.037,82.47
data_3_cell08,data_3,5C(67%)-4C-newstructure,newstructure,5.0,67.0,4.0,827,826,1.0647,10.183,10.045,82.74
