name,T80,life,m_low,m_mid,n_seg,tag,stages
2-stage: 3.6C(80%)-3.6C,13.265555555555554,1489.2239088032497,1.44,1.44,1,2-stage (known),"[(3.6, 80)]"
2-stage: 4C(80%)-4C,12.501999999999999,1112.7561417305205,1.6,1.6,1,2-stage (known),"[(4.0, 80)]"
2-stage: 1C(4%)-6C,11.356666666666666,306.9021988391161,2.2,2.4,2,2-stage (known),"[(1.0, 4), (6.0, 80)]"
2-stage: 2C(10%)-6C,11.356666666666666,363.4126160642234,2.0,2.4,2,2-stage (known),"[(2.0, 10), (6.0, 80)]"
2-stage: 8C(15%)-3.6C,12.47813888888889,852.5895396087764,2.1,1.44,2,2-stage (known),"[(8.0, 15), (3.6, 80)]"
3-stage: 4C→30%→2C→65%→1C,19.374,3331.194570682006,1.4,0.65,3,3-stage (NEW),"[(4.0, 30), (2.0, 65), (1.0, 80)]"
3-stage: 5C→20%→3C→55%→1C,19.603066666666667,2679.1683248190316,1.6,0.7,3,3-stage (NEW),"[(5.0, 20), (3.0, 55), (1.0, 80)]"
3-stage: 6C→15%→3C→50%→1.5C,17.369666666666667,2445.9636578675145,1.65,0.75,3,3-stage (NEW),"[(6.0, 15), (3.0, 50), (1.5, 80)]"
3-stage: 3.6C→50%→2C→70%→1C,17.27422222222222,2623.493545171409,1.44,0.86,3,3-stage (NEW),"[(3.6, 50), (2.0, 70), (1.0, 80)]"
3-stage: 4.5C→35%→2.5C→60%→1C,18.610444444444443,2462.0677530212197,1.7,0.7,3,3-stage (NEW),"[(4.5, 35), (2.5, 60), (1.0, 80)]"
3-stage: 7C→10%→4C→40%→1.5C,17.86052380952381,2292.4506747734445,1.9,0.6,3,3-stage (NEW),"[(7.0, 10), (4.0, 40), (1.5, 80)]"
3-stage: 3C→45%→2C→65%→0.8C,20.662499999999998,3868.298683966423,1.2,0.67,3,3-stage (NEW),"[(3.0, 45), (2.0, 65), (0.8, 80)]"
3-stage: 5C→25%→3.5C→55%→1.2C,17.45147619047619,2045.3846859132293,1.775,0.825,3,3-stage (NEW),"[(5.0, 25), (3.5, 55), (1.2, 80)]"
4-stage: 6C→10%→4C→30%→2C→60%→1C,19.946666666666665,2953.928642960281,1.5999999999999999,0.6000000000000001,4,4-stage (NEW),"[(6.0, 10), (4.0, 30), (2.0, 60), (1.0, 80)]"
4-stage: 5C→15%→3.5C→40%→2C→65%→1C,18.564085714285714,2754.3872540504562,1.625,0.65,4,4-stage (NEW),"[(5.0, 15), (3.5, 40), (2.0, 65), (1.0, 80)]"
