battery,cycle,Qd_Ah,SOH_pct,chargetime_min
data_1_cell00,1,1.0707,100.0,13.341
data_1_cell00,2,1.0719,100.11207621182405,13.426
data_1_cell00,3,1.0725,100.16811431773607,13.425
data_1_cell00,4,1.0732,100.23349210796675,13.341
data_1_cell00,5,1.0736,100.27085084524143,13.341
data_1_cell00,6,1.074,100.30820958251611,13.34
data_1_cell00,7,1.0744,100.3455683197908,13.425
data_1_cell00,8,1.0745,100.35490800410946,13.425
data_1_cell00,9,1.0745,100.35490800410946,13.426
data_1_cell00,10,1.0748,100.38292705706546,13.341
data_1_cell00,11,,,13.341
data_1_cell00,12,1.0738,100.28953021387879,13.342
data_1_cell00,13,1.0751,100.41094611002148,13.426
data_1_cell00,14,1.0731,100.22415242364808,13.425
data_1_cell00,15,1.0758,100.47632390025218,13.341
data_1_cell00,16,1.0724,100.15877463341741,13.461
data_1_cell00,17,1.0762,100.51368263752684,13.429
data_1_cell00,18,1.0762,100.51368263752684,13.426
data_1_cell00,19,1.0764,100.5323620061642,13.358
data_1_cell00,20,1.0765,100.54170169048287,13.443
data_1_cell00,21,1.0767,100.5603810591202,13.342
data_1_cell00,22,1.0766,100.55104137480153,13.426
data_1_cell00,23,1.0755,100.44830484729614,13.425
data_1_cell00,24,1.0766,100.55104137480153,13.341
data_1_cell00,25,1.0765,100.54170169048287,13.342
data_1_cell00,26,1.0766,100.55104137480153,13.358
data_1_cell00,27,1.0765,100.54170169048287,13.342
data_1_cell00,28,1.0765,100.54170169048287,13.341
data_1_cell00,29,1.0766,100.55104137480153,13.425
data_1_cell00,30,1.0766,100.55104137480153,13.425
data_1_cell00,31,1.0766,100.55104137480153,13.426
data_1_cell00,32,1.0766,100.55104137480153,13.342
data_1_cell00,33,1.0766,100.55104137480153,13.426
data_1_cell00,34,1.0766,100.55104137480153,13.343
data_1_cell00,35,1.0767,100.5603810591202,13.425
data_1_cell00,36,1.0766,100.55104137480153,13.341
data_1_cell00,37,1.0767,100.5603810591202,13.342
data_1_cell00,38,1.0767,100.5603810591202,13.425
data_1_cell00,39,1.0767,100.5603810591202,13.342
data_1_cell00,40,1.0767,100.5603810591202,13.341
data_1_cell00,41,1.0767,100.5603810591202,13.341
data_1_cell00,42,1.0767,100.5603810591202,13.426
data_1_cell00,43,1.0768,100.56972074343886,13.408
data_1_cell00,44,1.0767,100.5603810591202,13.358
data_1_cell00,45,1.0767,100.5603810591202,13.425
data_1_cell00,46,1.0767,100.5603810591202,13.427
data_1_cell00,47,1.0743,100.33622863547214,13.445
data_1_cell00,48,1.0768,100.56972074343886,13.341
data_1_cell00,49,1.0768,100.56972074343886,13.342
data_1_cell00,50,1.0767,100.5603810591202,13.426
data_1_cell00,51,1.0767,100.5603810591202,13.427
data_1_cell00,52,1.0767,100.5603810591202,13.426
data_1_cell00,53,1.0768,100.56972074343886,13.426
data_1_cell00,54,1.0766,100.55104137480153,13.426
data_1_cell00,55,1.0767,100.5603810591202,13.341
data_1_cell00,56,1.0754,100.43896516297748,13.341
data_1_cell00,57,1.0766,100.55104137480153,13.344
data_1_cell00,58,1.0753,100.4296254786588,13.427
data_1_cell00,59,1.0767,100.5603810591202,13.43
data_1_cell00,60,1.0769,100.57906042775755,13.345
data_1_cell00,61,1.0771,100.59773979639488,13.341
data_1_cell00,62,1.0771,100.59773979639488,13.358
data_1_cell00,63,1.077,100.58840011207622,13.341
data_1_cell00,64,1.0765,100.54170169048287,13.426
data_1_cell00,65,1.0766,100.55104137480153,13.425
data_1_cell00,66,1.0767,100.5603810591202,13.341
data_1_cell00,67,1.0765,100.54170169048287,13.341
data_1_cell00,68,1.0766,100.55104137480153,13.426
data_1_cell00,69,1.0766,100.55104137480153,13.342
