batch,battery_idx,barcode,cycle_life,policy_str,C1,Q1,C2,avg_chargetime,Q_initial
batch1,0,3707764736_2_1_1_1_1,1190,3.6C(80%)-3.6C,3.6,80.0,3.6,13.419938099046014,1.073174
batch1,1,3707764736_2_1_1_2_1,1179,3.6C(80%)-3.6C,3.6,80.0,3.6,13.381404755026898,1.0781505
batch1,2,3707764736_2_1_1_3_1,1177,3.6C(80%)-3.6C,3.6,80.0,3.6,13.378729954609941,1.0827312
batch1,3,3707764736_2_1_1_4_1,1226,4C(80%)-4C,4.0,80.0,4.0,12.289285412581698,1.0827308
batch1,4,3707764736_2_1_1_5_1,1227,4C(80%)-4C,4.0,80.0,4.0,12.05148568435372,1.0804269
batch1,5,3707764736_2_1_1_6_1,1074,4.4C(80%)-4.4C,4.4,80.0,4.4,11.595965646766194,1.0785232
batch1,6,3707764736_2_1_1_7_1,636,4.8C(80%)-4.8C,4.8,80.0,4.8,10.507511303890634,1.0791821
batch1,7,3707764736_2_1_1_8_1,870,4.8C(80%)-4.8C,4.8,80.0,4.8,10.48992162634408,1.0964732
batch1,8,3707764736_2_1_1_9_1,879,5.4C(40%)-3.6C,5.4,40.0,3.6,11.259134106803483,1.0925323
batch1,9,3707764736_2_1_1_10_1,1054,5.4C(40%)-3.6C,5.4,40.0,3.6,11.442249429657798,1.0847102
batch1,10,3707764736_2_1_1_11_1,906,5.4C(50%)-3C,5.4,50.0,3.0,11.686323691002936,1.0774403
batch1,11,3707764736_2_1_1_12_1,788,5.4C(50%)-3C,5.4,50.0,3.0,11.858436600933011,1.0564448
batch1,12,3707764736_2_1_1_13_1,902,5.4C(50%)-3.6C,5.4,50.0,3.6,10.734712933333334,1.0797327
batch1,13,3707764736_2_1_1_14_1,897,5.4C(50%)-3.6C,5.4,50.0,3.6,10.729962581005596,1.0823551
batch1,14,3707764736_2_1_1_15_1,880,5.4C(60%)-3C,5.4,60.0,3.0,11.554865590356867,1.0733926
batch1,15,3707764736_2_1_1_16_1,719,5.4C(60%)-3C,5.4,60.0,3.0,11.650982898651773,1.0646247
batch1,16,3707764736_2_1_1_17_1,862,5.4C(60%)-3.6C,5.4,60.0,3.6,10.375377670542639,1.0840898
batch1,17,3707764736_2_1_1_18_1,857,5.4C(60%)-3.6C,5.4,60.0,3.6,10.374517204678355,1.0745075
batch1,18,3707764736_2_1_1_19_1,691,5.4C(70%)-3C,5.4,70.0,3.0,10.705843195452351,1.0678893
batch1,19,3707764736_2_1_1_20_1,788,5.4C(70%)-3C,5.4,70.0,3.0,10.799819414758266,1.0874817
batch1,20,3707764736_2_1_1_21_1,534,5.4C(80%)-5.4C,5.4,80.0,5.4,9.77991325814536,1.0750004
batch1,21,3707764736_2_1_1_22_1,559,5.4C(80%)-5.4C,5.4,80.0,5.4,9.6167481358468,1.0848194
batch1,22,3707764736_2_1_1_23_1,891,6C(30%)-3.6C,6.0,30.0,3.6,11.479147770903623,1.0819492
batch1,23,3707764736_2_1_1_24_1,1014,6C(30%)-3.6C,6.0,30.0,3.6,11.669389657444004,1.0818073
batch1,24,3707764736_2_1_1_25_1,1017,6C(40%)-3C,6.0,40.0,3.0,12.619731374384255,1.0764751
batch1,25,3707764736_2_1_1_26_1,854,6C(40%)-3C,6.0,40.0,3.0,12.371651085680764,1.0772517
batch1,26,3707764736_2_1_1_27_1,870,6C(40%)-3.6C,6.0,40.0,3.6,11.033818438940099,1.090127
batch1,27,3707764736_2_1_1_28_1,842,6C(40%)-3.6C,6.0,40.0,3.6,11.013724291666684,1.0812072
batch1,28,3707764736_2_1_1_29_1,860,6C(50%)-3C,6.0,50.0,3.0,11.485353795648791,1.0801463
batch1,29,3707764736_2_1_1_30_1,917,6C(50%)-3C,6.0,50.0,3.0,11.438478663023673,1.0817964
