policy_str,count,mean_life,median_life,std_life,min_life,max_life,C1,Q1,C2,avg_chargetime
4.8C(80%)-4.8C-newstructure,6,1564.1666666666667,1640.0,285.72183442408925,1078,1836,4.8,80.0,4.8,11.1574404772564
4C(80%)-4C,2,1226.5,1226.5,0.7071067811865476,1226,1227,4.0,80.0,4.0,12.17038554846771
3.6C(80%)-3.6C,3,1182.0,1179.0,7.0,1177,1190,3.6,80.0,3.6,13.393357602894284
4.4C(80%)-4.4C,1,1074.0,1074.0,,1074,1074,4.4,80.0,4.4,11.595965646766194
5.3C(54%)-4C-newstructure,8,1074.375,1051.0,129.67424846239024,935,1315,5.3,54.0,4.0,10.155698951525883
5.6C(19%)-4.6C-newstructure,8,1001.375,1038.0,174.55571153236843,796,1267,5.6,19.0,4.6,10.248325419493181
5C(67%)-4C-newstructure,7,1105.7142857142858,1009.0,402.9117828531511,813,1935,5.0,67.0,4.0,10.158266146895143
8C(15%)-3.6C,2,1008.5,1008.5,60.10407640085654,966,1051,8.0,15.0,3.6,12.452322926174823
5.4C(40%)-3.6C,2,966.5,966.5,123.74368670764582,879,1054,5.4,40.0,3.6,11.35069176823064
6C(30%)-3.6C,2,952.5,952.5,86.97413408594535,891,1014,6.0,30.0,3.6,11.574268714173813
6C(40%)-3C,2,935.5,935.5,115.25840533340725,854,1017,6.0,40.0,3.0,12.49569123003251
5.4C(50%)-3.6C,2,899.5,899.5,3.5355339059327378,897,902,5.4,50.0,3.6,10.732337757169464
5.6C(36%)-4.3C-newstructure,8,930.875,890.5,135.0242703051143,786,1155,5.6,36.0,4.3,10.21889686590315
6C(50%)-3C,2,888.5,888.5,40.30508652763321,860,917,6.0,50.0,3.0,11.461916229336232
5.9C(15%)-4.6C-newstructure,2,867.0,867.0,12.727922061357855,858,876,5.9,15.0,4.6,10.290933761400169
5.9C(60%)-3.1C-newstructure,2,866.5,866.5,191.6259377015544,731,1002,5.9,60.0,3.1,10.156669932025672
5.4C(60%)-3.6C,2,859.5,859.5,3.5355339059327378,857,862,5.4,60.0,3.6,10.374947437610498
6C(40%)-3.6C,2,856.0,856.0,19.79898987322333,842,870,6.0,40.0,3.6,11.023771365303391
5.4C(50%)-3C,2,847.0,847.0,83.43860018001261,788,906,5.4,50.0,3.0,11.772380145967974
5.4C(60%)-3C,2,799.5,799.5,113.84419177103415,719,880,5.4,60.0,3.0,11.602924244504319
6C(50%)-3.6C,2,792.5,792.5,118.08683245815344,709,876,6.0,50.0,3.6,10.431063499005258
5.4C(70%)-3C,2,739.5,739.5,68.58935777509511,691,788,5.4,70.0,3.0,10.752831305105309
6C(60%)-3C,3,733.6666666666666,731.0,22.120880030716066,713,757,6.0,60.0,3.0,10.796714176586876
7C(30%)-3.6C,2,722.5,722.5,27.577164466275352,703,742,7.0,30.0,3.6,11.387929510625106
8C(25%)-3.6C,2,676.5,676.5,36.062445840513924,651,702,8.0,25.0,3.6,11.659002648272068
7C(40%)-3C,2,676.0,676.0,39.59797974644666,648,704,7.0,40.0,3.0,12.0222657946263
3.7C(31%)-5.9C-newstructure,3,660.0,667.0,115.65898149300814,541,772,3.7,31.0,5.9,10.847335686134764
7C(40%)-3.6C,2,621.0,621.0,5.656854249492381,617,625,7.0,40.0,3.6,10.74510633252642
8C(35%)-3.6C,2,607.5,607.5,12.020815280171307,599,616,8.0,35.0,3.6,11.383273848665606
3.6C(9%)-5C,1,561.0,561.0,,561,561,3.6,9.0,5.0,11.353615436241615
5.4C(80%)-5.4C,2,546.5,546.5,17.67766952966369,534,559,5.4,80.0,5.4,9.69833069699608
5.6C(25%)-4.5C,1,535.0,535.0,,535,535,5.6,25.0,4.5,11.273373002976191
4.65C(69%)-6C,1,527.0,527.0,,527,527,4.65,69.0,6.0,12.589009237841038
5.2C(58%)-4C,1,520.0,520.0,,520,520,5.2,58.0,4.0,11.093188641636132
5.2C(50%)-4.25C,1,519.0,519.0,,519,519,5.2,50.0,4.25,11.041862643995092
4.65C(44%)-5C,1,513.0,513.0,,513,513,4.65,44.0,5.0,11.437275709876552
3.6C(30%)-6C,1,511.0,511.0,,511,511,3.6,30.0,6.0,11.946970354740055
4.9C(61%)-4.5C,1,509.0,509.0,,509,509,4.9,61.0,4.5,11.204320003080708
4.4C(8%)-4.85C,1,502.0,502.0,,502,502,4.4,8.0,4.85,11.33199335216573
5.6C(5%)-4.75C,1,499.0,499.0,,499,499,5.6,5.0,4.75,11.31858022955977
5.2C(66%)-3.5C,1,499.0,499.0,,499,499,5.2,66.0,3.5,11.018007911913807
4.9C(69%)-4.25C,1,498.0,498.0,,498,498,4.9,69.0,4.25,11.165909888250306
4.8C(80%)-4.8C,5,586.6,495.0,173.41078397839047,461,870,4.8,80.0,4.8,12.061343889578772
4.4C(24%)-5C,1,494.0,494.0,,494,494,4.4,24.0,5.0,11.551742853968266
5.2C(37%)-4.5C,1,492.0,492.0,,492,492,5.2,37.0,4.5,11.087199675658322
4.65C(19%)-4.85C,1,489.0,489.0,,489,489,4.65,19.0,4.85,11.47239141987178
4.4C(47%)-5.5C,1,487.0,487.0,,487,487,4.4,47.0,5.5,11.872641172721483
6C(4%)-4.75C,1,487.0,487.0,,487,487,6.0,4.0,4.75,11.225240564202338
4C(4%)-4.85C,1,485.0,485.0,,485,485,4.0,4.0,4.85,11.239950307793068
4C(40%)-6C,1,483.0,483.0,,483,483,4.0,40.0,6.0,12.096888314102573
5.2C(10%)-4.75C,1,481.0,481.0,,481,481,5.2,10.0,4.75,11.234959188034182
3.6C(2%)-4.85C,1,480.0,480.0,,480,480,3.6,2.0,4.85,12.27066251808023
5.6C(38%)-4.25C,1,478.0,478.0,,478,478,5.6,38.0,4.25,11.177204541832664
4C(13%)-5C,1,477.0,477.0,,477,477,4.0,13.0,5.0,11.455135531353127
4.9C(27%)-4.75C,1,468.0,468.0,,468,468,4.9,27.0,4.75,11.347113383838407
6C(20%)-4.5C,1,466.0,466.0,,466,466,6.0,20.0,4.5,11.258462787940369
5.6C(47%)-4C,1,465.0,465.0,,465,465,5.6,47.0,4.0,11.029535811088294
5.2C(71%)-3C,1,463.0,463.0,,463,463,5.2,71.0,3.0,11.105254125514408
6C(31%)-4.25C,1,462.0,462.0,,462,462,6.0,31.0,4.25,11.236314308692668
4.4C(55%)-6C,1,461.0,461.0,,461,461,4.4,55.0,6.0,11.89524962508522
5.6C(58%)-3.5C,1,459.0,459.0,,459,459,5.6,58.0,3.5,12.02971179166666
4C(31%)-5,1,458.0,458.0,,458,458,4.0,31.0,5.0,12.737205926680238
6C(40%)-4C,1,457.0,457.0,,457,457,6.0,40.0,4.0,12.10425552887961
3.6C(22%)-5.5C,1,444.0,444.0,,444,444,3.6,22.0,5.5,11.676122176220812
2C(2%)-5C,1,438.0,438.0,,438,438,2.0,2.0,5.0,12.49014010057472
5.6C(65%)-3C,1,429.0,429.0,,429,429,5.6,65.0,3.0,12.131088679941007
6C(52%)-3.5C,1,429.0,429.0,,429,429,6.0,52.0,3.5,10.996223195991092
2C(7%)-5.5C,1,335.0,335.0,,335,335,2.0,7.0,5.5,12.201032982456129
1C(4%)-6C,1,300.0,300.0,,300,300,1.0,4.0,6.0,12.744595644171786
2C(10%)-6C,1,148.0,148.0,,148,148,2.0,10.0,6.0,12.518202392156882
